,ind,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
0,1,"(0, 0, 0)","(2.7250277996063232, -27.568347930908203, 512.7308349609375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1,2,"(0, 0, 0)","(2.882829427719116, -27.3958683013916, 512.6068115234375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
2,3,"(0, 0, 0)","(3.026355266571045, -27.224510192871094, 512.5335693359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
3,4,"(0, 0, 0)","(3.1565442085266113, -27.066102981567383, 512.5079956054688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
4,5,"(0, 0, 0)","(3.265615940093994, -26.90469741821289, 512.5140380859375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
5,6,"(0, 0, 0)","(3.359224557876587, -26.74903106689453, 512.5716552734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
6,7,"(0, 0, 0)","(3.4475581645965576, -26.603958129882812, 512.655029296875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
7,8,"(0, 0, 0)","(3.5370125770568848, -26.46204376220703, 512.7509765625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
8,9,"(0, 0, 0)","(3.6163008213043213, -26.322952270507812, 512.8715209960938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
9,10,"(0, 0, 0)","(3.6792831420898438, -26.187053680419922, 512.9999389648438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
10,11,"(0, 0, 0)","(3.7365787029266357, -26.07132911682129, 513.1243286132812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
11,12,"(0, 0, 0)","(3.794868230819702, -25.983875274658203, 513.2575073242188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
12,13,"(0, 0, 0)","(3.846052408218384, -25.899110794067383, 513.357177734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
13,14,"(0, 0, 0)","(3.8898820877075195, -25.808734893798828, 513.4526977539062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
14,15,"(0, 0, 0)","(3.9503886699676514, -25.730810165405273, 513.5443115234375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
15,16,"(0, 0, 0)","(4.040835380554199, -25.65730857849121, 513.6095581054688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
16,17,"(0, 0, 0)","(4.1630859375, -25.57673454284668, 513.6773681640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
17,18,"(0, 0, 0)","(4.313709259033203, -25.479496002197266, 513.7489013671875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
18,19,"(0, 0, 0)","(4.48405647277832, -25.36030387878418, 513.814208984375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
19,20,"(0, 0, 0)","(4.663390636444092, -25.229320526123047, 513.8853759765625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
20,21,"(0, 0, 0)","(4.861538887023926, -25.091537475585938, 513.9663696289062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
21,22,"(0, 0, 0)","(5.0797014236450195, -24.945505142211914, 514.0510864257812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
22,23,"(0, 0, 0)","(5.324879169464111, -24.784934997558594, 514.11474609375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
23,24,"(0, 0, 0)","(5.575541973114014, -24.60447120666504, 514.1709594726562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
24,25,"(0, 0, 0)","(5.81378173828125, -24.389698028564453, 514.1820678710938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
25,26,"(0, 0, 0)","(6.047825813293457, -24.176979064941406, 514.1340942382812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
26,27,"(0, 0, 0)","(6.268428325653076, -23.986587524414062, 514.07373046875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
27,28,"(0, 0, 0)","(6.4898576736450195, -23.81117820739746, 513.97998046875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
28,29,"(0, 0, 0)","(6.7123284339904785, -23.6441707611084, 513.9151000976562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
29,30,"(0, 0, 0)","(6.967777729034424, -23.484172821044922, 513.867431640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
30,31,"(0, 0, 0)","(7.259920597076416, -23.329071044921875, 513.8632202148438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
31,32,"(0, 0, 0)","(0, 0, 0)","(7.5631327629089355, -23.262786865234375, 513.9735107421875)","(0, 0, 0)","(0, 0, 0)"
32,33,"(0, 0, 0)","(0, 0, 0)","(7.902821063995361, -23.083873748779297, 513.9148559570312)","(0, 0, 0)","(0, 0, 0)"
33,34,"(0, 0, 0)","(0, 0, 0)","(8.217769622802734, -22.925321578979492, 513.8681030273438)","(0, 0, 0)","(0, 0, 0)"
34,35,"(0, 0, 0)","(0, 0, 0)","(8.50296401977539, -22.778602600097656, 513.83349609375)","(0, 0, 0)","(0, 0, 0)"
