,ind,timestamp,time,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
0,1,1687770994.840222,0.10025930404663086,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1,2,1687770995.0404992,0.3005352020263672,"(0, 0, 0)","(-45.661128997802734, -26.44866180419922, 615.5310668945312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
2,3,1687770995.1426196,0.40265655517578125,"(0, 0, 0)","(0, 0, 0)","(-52.06784439086914, -34.61394119262695, 621.0894775390625)","(0, 0, 0)","(0, 0, 0)"
3,4,1687770995.244827,0.504863977432251,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-51.206817626953125, -42.20064163208008, 626.1707153320312)","(0, 0, 0)"
4,5,1687770995.3472824,0.6073200702667236,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-49.127655029296875, -47.11490249633789, 628.0562744140625)","(0, 0, 0)"
5,6,1687770995.4496965,0.7097437381744385,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-46.54016876220703, -49.47614669799805, 628.0740356445312)","(0, 0, 0)"
6,7,1687770995.5518513,0.8118875026702881,"(0, 0, 0)","(-40.71173858642578, -46.666847229003906, 625.6466674804688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
7,8,1687770995.6541445,0.9141817092895508,"(0, 0, 0)","(-35.17925262451172, -41.932342529296875, 624.1633911132812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
8,9,1687770995.7573407,1.0173816680908203,"(0, 0, 0)","(-33.3426513671875, -35.541297912597656, 622.4580688476562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
9,10,1687770995.860681,1.1207184791564941,"(0, 0, 0)","(0, 0, 0)","(-35.813446044921875, -28.776222229003906, 620.0458374023438)","(0, 0, 0)","(0, 0, 0)"
10,11,1687770995.9640942,1.2241320610046387,"(0, 0, 0)","(-42.902244567871094, -29.093082427978516, 617.6630249023438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
11,12,1687770996.067578,1.32761549949646,"(0, 0, 0)","(-49.88741683959961, -36.957069396972656, 619.3741455078125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
12,13,1687770996.1714568,1.4314937591552734,"(0, 0, 0)","(0, 0, 0)","(-50.78543472290039, -45.17642593383789, 624.7523803710938)","(0, 0, 0)","(0, 0, 0)"
13,14,1687770996.2742229,1.5342605113983154,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-43.554412841796875, -49.33382797241211, 630.6744995117188)","(0, 0, 0)"
14,15,1687770996.3773506,1.6373872756958008,"(0, 0, 0)","(-35.933349609375, -51.164581298828125, 635.2889404296875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
15,16,1687770996.4808288,1.740865707397461,"(0, 0, 0)","(-24.9752197265625, -46.32403564453125, 640.1657104492188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
16,17,1687770996.58428,1.8443169593811035,"(0, 0, 0)","(0, 0, 0)","(-13.288431167602539, -31.89996910095215, 641.9554443359375)","(0, 0, 0)","(0, 0, 0)"
