timestamp,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
1687780639.5412421,"(0, 0, 0)","(13.17051887512207, 31.97813606262207, 526.9451293945312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.5423129,"(0, 0, 0)","(13.100313186645508, 32.27220916748047, 526.6417236328125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.5481737,"(0, 0, 0)","(13.052828788757324, 32.57978057861328, 526.3683471679688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.5563538,"(0, 0, 0)","(12.993017196655273, 32.92520523071289, 526.114501953125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.5648975,"(0, 0, 0)","(12.934366226196289, 33.33027648925781, 525.8873291015625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.5733073,"(0, 0, 0)","(12.89056396484375, 33.8005485534668, 525.6790161132812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.581857,"(0, 0, 0)","(12.87012004852295, 34.3266716003418, 525.4732055664062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.5898533,"(0, 0, 0)","(12.871983528137207, 34.88888931274414, 525.2635498046875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.5983634,"(0, 0, 0)","(12.886298179626465, 35.47420883178711, 525.0240478515625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.6067567,"(0, 0, 0)","(12.900754928588867, 36.05451202392578, 524.7813110351562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.6158073,"(0, 0, 0)","(12.916058540344238, 36.59117126464844, 524.5653076171875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.6232576,"(0, 0, 0)","(12.916817665100098, 37.077178955078125, 524.381591796875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.6317632,"(0, 0, 0)","(12.89863109588623, 37.52832794189453, 524.1878662109375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.640496,"(0, 0, 0)","(12.851951599121094, 37.94847869873047, 523.9764404296875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.648452,"(0, 0, 0)","(12.769928932189941, 38.33960723876953, 523.73291015625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.6567137,"(0, 0, 0)","(12.66316032409668, 38.717010498046875, 523.44775390625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.665306,"(0, 0, 0)","(12.517430305480957, 39.06865310668945, 523.1461181640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.67342,"(0, 0, 0)","(12.354310989379883, 39.397457122802734, 522.8360595703125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.6817415,"(0, 0, 0)","(12.176093101501465, 39.711936950683594, 522.550537109375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.6898954,"(0, 0, 0)","(11.976563453674316, 40.006412506103516, 522.2960815429688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.6983411,"(0, 0, 0)","(11.77050495147705, 40.28055191040039, 522.0746459960938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.706585,"(0, 0, 0)","(11.587179183959961, 40.55487823486328, 521.8427124023438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.7150419,"(0, 0, 0)","(11.453041076660156, 40.81484603881836, 521.6286010742188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.7232301,"(0, 0, 0)","(11.374288558959961, 40.97875213623047, 521.4684448242188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.7315032,"(0, 0, 0)","(11.220685005187988, 41.173397064208984, 521.2677001953125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.739816,"(0, 0, 0)","(10.978894233703613, 41.3817253112793, 521.0332641601562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.7484527,"(0, 0, 0)","(10.696619987487793, 41.5610237121582, 520.7886352539062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.756607,"(0, 0, 0)","(10.41523265838623, 41.76435852050781, 520.4808959960938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.7650223,"(0, 0, 0)","(10.110262870788574, 42.01152420043945, 520.1222534179688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.773285,"(0, 0, 0)","(9.791234016418457, 42.319156646728516, 519.6822509765625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.781733,"(0, 0, 0)","(9.43734359741211, 42.674015045166016, 519.1686401367188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.7898302,"(0, 0, 0)","(9.041446685791016, 43.070884704589844, 518.5670166015625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.7983284,"(0, 0, 0)","(8.615331649780273, 43.4959602355957, 517.8330688476562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.8072264,"(0, 0, 0)","(8.135040283203125, 43.942466735839844, 516.96923828125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.814966,"(0, 0, 0)","(7.601673603057861, 44.36288070678711, 515.9949951171875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.823162,"(0, 0, 0)","(7.034484386444092, 44.67461395263672, 514.9802856445312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.8316891,"(0, 0, 0)","(6.473352909088135, 44.844932556152344, 514.007568359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.8399456,"(0, 0, 0)","(5.930517673492432, 44.8823127746582, 513.123291015625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.8485377,"(0, 0, 0)","(5.4112958908081055, 44.790775299072266, 512.3455200195312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.8567026,"(0, 0, 0)","(4.920485019683838, 44.594886779785156, 511.645263671875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.8649824,"(0, 0, 0)","(4.400101184844971, 44.318382263183594, 511.01275634765625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.8733723,"(0, 0, 0)","(3.8127665519714355, 44.00026321411133, 510.398193359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.881487,"(0, 0, 0)","(3.160609245300293, 43.682899475097656, 509.75732421875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.8899956,"(0, 0, 0)","(2.4833824634552, 43.3875617980957, 509.072265625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.8982677,"(0, 0, 0)","(1.8127315044403076, 43.09116744995117, 508.3358459472656)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.9066708,"(0, 0, 0)","(1.161241888999939, 42.77307891845703, 507.6191101074219)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.9150705,"(0, 0, 0)","(0.5515285134315491, 42.395999908447266, 506.95648193359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.9230895,"(0, 0, 0)","(0.012851168401539326, 41.934818267822266, 506.3951110839844)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.9315557,"(0, 0, 0)","(-0.4185676574707031, 41.37015914916992, 505.9628601074219)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.940002,"(0, 0, 0)","(-0.7347397804260254, 40.746849060058594, 505.6822509765625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.9484541,"(0, 0, 0)","(-0.9297136664390564, 40.130157470703125, 505.4892272949219)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.956748,"(0, 0, 0)","(-1.0126338005065918, 39.53972244262695, 505.3648376464844)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.9648364,"(0, 0, 0)","(-0.9836956858634949, 38.98230743408203, 505.28167724609375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.9730647,"(0, 0, 0)","(-0.8421331644058228, 38.47315979003906, 505.2195739746094)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.9817722,"(0, 0, 0)","(-0.5934138894081116, 38.01483917236328, 505.1683654785156)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.9901254,"(0, 0, 0)","(-0.23918886482715607, 37.614139556884766, 505.0655517578125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780639.9982886,"(0, 0, 0)","(0.20610354840755463, 37.25266647338867, 504.9402160644531)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780640.0065937,"(0, 0, 0)","(0.739800214767456, 36.8875846862793, 504.8209533691406)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780640.015013,"(0, 0, 0)","(1.3661917448043823, 36.48717498779297, 504.7474365234375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780640.0233161,"(0, 0, 0)","(2.0928306579589844, 36.039093017578125, 504.6698303222656)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780640.0317183,"(0, 0, 0)","(2.8986337184906006, 35.532371520996094, 504.6034851074219)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687780640.0400832,"(0, 0, 0)","(0, 0, 0)","(3.710867166519165, 35.08307647705078, 504.4153747558594)","(0, 0, 0)","(0, 0, 0)"
1687780640.0482414,"(0, 0, 0)","(0, 0, 0)","(4.569413185119629, 34.64533996582031, 504.28558349609375)","(0, 0, 0)","(0, 0, 0)"
