timestamp,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data,found_marker_id,found_marker_index,found_marker_data
1687833246.5987132,"(9.6517972946167, 57.079830169677734, 541.6708374023438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(9.6517972946167, 57.079830169677734, 541.6708374023438)"
1687833246.6004353,"(8.14850902557373, 58.31950759887695, 542.35400390625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(8.14850902557373, 58.31950759887695, 542.35400390625)"
1687833246.604205,"(7.42257022857666, 58.8762092590332, 542.6070556640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(7.42257022857666, 58.8762092590332, 542.6070556640625)"
1687833246.612471,"(6.675375461578369, 59.3794059753418, 542.8110961914062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(6.675375461578369, 59.3794059753418, 542.8110961914062)"
1687833246.621054,"(5.875235080718994, 59.815250396728516, 542.9556274414062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(5.875235080718994, 59.815250396728516, 542.9556274414062)"
1687833246.6314373,"(4.995996952056885, 60.17576217651367, 543.044921875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(4.995996952056885, 60.17576217651367, 543.044921875)"
1687833246.6375859,"(4.05363655090332, 60.47200393676758, 543.109375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(4.05363655090332, 60.47200393676758, 543.109375)"
1687833246.6464195,"(3.061495542526245, 60.71550750732422, 543.1715698242188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(3.061495542526245, 60.71550750732422, 543.1715698242188)"
1687833246.6544895,"(2.0334880352020264, 60.90793228149414, 543.2244262695312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(2.0334880352020264, 60.90793228149414, 543.2244262695312)"
1687833246.6628637,"(0.9858986735343933, 61.02937698364258, 543.256591796875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(0.9858986735343933, 61.02937698364258, 543.256591796875)"
