timestamp,found_marker_id,found_marker_index,found_marker_data,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
1687838938.860469,669,0,"(59.797096252441406, 52.18519592285156, 524.4326171875)","(59.797096252441406, 52.18519592285156, 524.4326171875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.8622563,669,0,"(59.87553405761719, 52.12269592285156, 523.9776000976562)","(59.87553405761719, 52.12269592285156, 523.9776000976562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.8638284,669,0,"(59.96586227416992, 52.03469467163086, 523.6029052734375)","(59.96586227416992, 52.03469467163086, 523.6029052734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.8720653,669,0,"(60.034217834472656, 51.88848876953125, 523.2409057617188)","(60.034217834472656, 51.88848876953125, 523.2409057617188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.880506,669,0,"(60.073997497558594, 51.704158782958984, 522.9017944335938)","(60.073997497558594, 51.704158782958984, 522.9017944335938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.888559,669,0,"(60.07678985595703, 51.486236572265625, 522.6087646484375)","(60.07678985595703, 51.486236572265625, 522.6087646484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.8972228,669,0,"(60.02971267700195, 51.228065490722656, 522.3357543945312)","(60.02971267700195, 51.228065490722656, 522.3357543945312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.905301,669,0,"(59.92537307739258, 50.93770217895508, 522.0631103515625)","(59.92537307739258, 50.93770217895508, 522.0631103515625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.9139476,669,0,"(59.768836975097656, 50.640132904052734, 521.8026733398438)","(59.768836975097656, 50.640132904052734, 521.8026733398438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.9223056,669,0,"(59.59060287475586, 50.32821273803711, 521.540771484375)","(59.59060287475586, 50.32821273803711, 521.540771484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.930226,669,0,"(59.42794418334961, 50.0057487487793, 521.2669677734375)","(59.42794418334961, 50.0057487487793, 521.2669677734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.938716,669,0,"(59.29667663574219, 49.691444396972656, 520.9826049804688)","(59.29667663574219, 49.691444396972656, 520.9826049804688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.9471934,669,0,"(59.18809509277344, 49.40815353393555, 520.688720703125)","(59.18809509277344, 49.40815353393555, 520.688720703125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.95558,669,0,"(59.10657501220703, 49.16401290893555, 520.3825073242188)","(59.10657501220703, 49.16401290893555, 520.3825073242188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.9637444,669,0,"(59.04401397705078, 48.96941375732422, 520.0869750976562)","(59.04401397705078, 48.96941375732422, 520.0869750976562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.9718802,669,0,"(58.983734130859375, 48.84844207763672, 519.8110961914062)","(58.983734130859375, 48.84844207763672, 519.8110961914062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.9804175,669,0,"(58.90325927734375, 48.81930923461914, 519.57470703125)","(58.90325927734375, 48.81930923461914, 519.57470703125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.988708,669,0,"(58.793609619140625, 48.879356384277344, 519.39111328125)","(58.793609619140625, 48.879356384277344, 519.39111328125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838938.9968898,669,0,"(58.6767692565918, 49.008094787597656, 519.2186889648438)","(58.6767692565918, 49.008094787597656, 519.2186889648438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.0052223,669,0,"(58.58279037475586, 49.192020416259766, 519.0499877929688)","(58.58279037475586, 49.192020416259766, 519.0499877929688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.0139787,669,0,"(58.51881408691406, 49.40845489501953, 518.8909301757812)","(58.51881408691406, 49.40845489501953, 518.8909301757812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.0220242,669,0,"(58.48799514770508, 49.64580535888672, 518.760498046875)","(58.48799514770508, 49.64580535888672, 518.760498046875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.0304356,669,0,"(58.492061614990234, 49.887168884277344, 518.6598510742188)","(58.492061614990234, 49.887168884277344, 518.6598510742188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.0386236,669,0,"(58.52664566040039, 50.12003707885742, 518.6032104492188)","(58.52664566040039, 50.12003707885742, 518.6032104492188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.0472174,669,0,"(58.59722137451172, 50.337642669677734, 518.5726318359375)","(58.59722137451172, 50.337642669677734, 518.5726318359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.055625,669,0,"(58.708740234375, 50.53617858886719, 518.5592041015625)","(58.708740234375, 50.53617858886719, 518.5592041015625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.063728,669,0,"(58.87187576293945, 50.712066650390625, 518.5173950195312)","(58.87187576293945, 50.712066650390625, 518.5173950195312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.0718622,669,0,"(59.0786018371582, 50.86767578125, 518.4451293945312)","(59.0786018371582, 50.86767578125, 518.4451293945312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.0805671,669,0,"(59.32558822631836, 51.02102279663086, 518.3328857421875)","(59.32558822631836, 51.02102279663086, 518.3328857421875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.0890183,669,0,"(59.6054573059082, 51.1732177734375, 518.1795043945312)","(59.6054573059082, 51.1732177734375, 518.1795043945312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.0972972,669,0,"(59.903663635253906, 51.3399772644043, 518.0179443359375)","(59.903663635253906, 51.3399772644043, 518.0179443359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.105389,669,0,"(60.17987060546875, 51.5216178894043, 517.861083984375)","(60.17987060546875, 51.5216178894043, 517.861083984375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.113849,669,0,"(60.41446304321289, 51.70636749267578, 517.7048950195312)","(60.41446304321289, 51.70636749267578, 517.7048950195312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.1219935,669,0,"(60.59856033325195, 51.89081573486328, 517.5703125)","(60.59856033325195, 51.89081573486328, 517.5703125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.1305673,669,0,"(60.73927307128906, 52.07243347167969, 517.4645385742188)","(60.73927307128906, 52.07243347167969, 517.4645385742188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.1390262,669,0,"(60.84804153442383, 52.24388122558594, 517.3796997070312)","(60.84804153442383, 52.24388122558594, 517.3796997070312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.1472695,669,0,"(60.94664764404297, 52.40073776245117, 517.2927856445312)","(60.94664764404297, 52.40073776245117, 517.2927856445312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.15551,669,0,"(61.04609680175781, 52.53900909423828, 517.2068481445312)","(61.04609680175781, 52.53900909423828, 517.2068481445312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.1641338,669,0,"(61.152015686035156, 52.6544303894043, 517.1074829101562)","(61.152015686035156, 52.6544303894043, 517.1074829101562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.1721852,669,0,"(61.263248443603516, 52.7489013671875, 516.9510498046875)","(61.263248443603516, 52.7489013671875, 516.9510498046875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.180334,669,0,"(61.361732482910156, 52.82901382446289, 516.7850952148438)","(61.361732482910156, 52.82901382446289, 516.7850952148438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.188705,669,0,"(61.43282699584961, 52.898990631103516, 516.5650024414062)","(61.43282699584961, 52.898990631103516, 516.5650024414062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.1972022,669,0,"(61.46224594116211, 52.96913528442383, 516.3348388671875)","(61.46224594116211, 52.96913528442383, 516.3348388671875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.205787,669,0,"(61.45741653442383, 53.04131317138672, 516.0478515625)","(61.45741653442383, 53.04131317138672, 516.0478515625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.2136762,669,0,"(61.421966552734375, 53.11702346801758, 515.7445068359375)","(61.421966552734375, 53.11702346801758, 515.7445068359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.2219677,669,0,"(61.38111877441406, 53.19990158081055, 515.422119140625)","(61.38111877441406, 53.19990158081055, 515.422119140625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
